"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bosnia and Herzegovina","BIH","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.729333353479127","0.945907673467445","2.59567890788739","","","","","4.06279282588662","3.38407849706567","4.72221100706981","7.91343124955594","",
"Belize","BLZ","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.6627861637443","69.5017474608632","54.6831425561334","69.2865801589624","41.2388512684118","43.6466853021362","44.0027669270833","40.3592433870253","27.3972779369627","20.435546875","23.1357899569615","19.5216271475984","23.3122636084104","22.6887621493913","24.9685531061174","27.8005650577553","36.5458141628288","38.065943875908","33.1193968649499","39.9449583179822","3.20006318818056","3.36075111827279","2.62877805887218","2.23446313788561","20.8798301854098","",
"Bolivia","BOL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5034609982803","33.2576838644364","24.8651835921558","42.0182496768668","49.3578142021198","53.2333863775009","64.1233587852083","98.0386015500143","34.906605414413","80.2189953637506","69.9718849499809","46.974872486969","49.7903996612963","41.2668772197179","34.3599007343126","27.2184465616673","42.243234543327","46.2664552464381","47.827652359865","63.3838250884009","66.9581625438007","48.8359583664535","40.6992264217543","45.2367958179069","30.1448139796022","",
"Barbados","BRB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8432281927711","23.9431622371158","22.1752703745234","32.3965684055532","45.4293631840796","62.2448718143311","68.9750214923362","55.7780683118157","60.1505974791292","","","","","","","","","38.5437783144423","80.6540587310837","","70.3250282326369","47.7456143472227","51.7552187990839","54.5680752828393","58.962371220186","59.0071560076309","55.1457760250574","51.4223097622548","","","","","",
"Brunei Darussalam","BRN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.49502167841152","6.22878210431497","8.40443228759665","6.77385407827538","12.2142939358243","15.1124683106106","19.1817922200667","16.8893284593426","","","","","","","","","","","","","","","","","","23.685729548957","21.2912803799483","22.0298433903258","16.8476229201528","152.673343217555","18.5177505728581","20.0898734168511","",
"Central African Republic","CAF","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","81.9223857609894","81.9122053341438","97.9716956449319","103.977884333423","","65.8173663136526","75.361103798574","69.1392313697818","79.9812472466487","88.8890772193001","93.6432228451638","87.7157300575536","95.8013258663538","76.9497403765056","83.0383980631914","77.0456998438274","102.843052758565","99.2709685281803","110.855764671647","139.515771792579","154.278987250564","170.651061514196","213.48055031446","103.500141588137","83.2586047944362","116.831457041084","101.640345797861","114.690672619493","126.346747568222","128.913321846832","148.864363431601","66.5588326938396","122.028302011667","134.24451997318","106.666121933061","112.667432969218","114.471175200682","116.041579457855","102.370078691396","130.466596582731","143.522053482469","112.320751199607","138.15815488345","159.538527603603","163.313466014962","126.043526032141","142.597821807958","150.402111872218","",
"Central Europe and the Baltics","CEB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.86025728547482","9.14503540868628","10.3055378664963","10.0648303870176","12.7903291021986","13.383859911442","10.9214387765139","13.9564841267819","14.9578672784795","22.781060536382","24.8083107770224","34.3494973904757","41.3617931788989","15.3466924701779","24.6707335158622","27.1408749008133","18.842461052702","","26.9538792761905","21.8252568303081","22.6305131381991","23.1504902546442","28.9655515726438","19.6210658386278","19.426385025311","21.1329824321646","20.8908018839705","16.1129546205165","19.04961583971","17.1497421031915","",
"Switzerland","CHE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","25.1573937867168","30.5212627373733","40.8255762174185","37.2038075720683","37.8964288217788","34.865936479512","34.163861590532","33.6791259777556","38.4537154161256","36.6152808907671","75.7836924617587","80.8650662094167","65.1015825953625","65.1116001010613","82.138903119755","59.3138396010364","70.537859868005","69.3544981151107","99.501061780299","94.5588810622816","112.829257361019","117.694801475774","195.17042141862","227.1144034009","227.691182218586","283.764488384759","184.015277518579","198.080931922611","200.815468143075","205.266553359768","224.415879358657","274.555956843088","259.74137859237","155.188515971916","192.10785405491","205.285869216028","152.191289307885","179.691521499822","218.15684108399","205.813680009389","218.885413149087","204.007104415449","242.591347670345","198.624946928415","254.301608931646","269.758015141163","285.499861406335","220.942050283053","228.604263937912","210.494026368695","",
"Channel Islands","CHI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.67673454038997","3.94970849909584","3.96105197368421","7.28552586605081","3.98939379217274","3.10068748608328","2.15463741438356","6.08727085478888","15.2926162768587","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.5984422737361","69.3114856393898","89.7836204837558","118.475618686772","98.7907063754034","83.9499349782408","84.0272810524338","63.2591331000174","90.27349355975","77.1010495231613","78.6726159885907","70.9139351910661","113.116736816338","118.014743014624","111.610698793356","113.374149313385","123.432605845767","73.2695500853533","134.320182725477","157.473842785354","107.521009039438","117.339397145815","95.5857394651442","89.8615314195602","78.5117428875939","85.2152277842727","106.706932574631","85.4879920737696","73.2312582420885","72.6451942078247","82.3043810867021","94.6901545749887","85.8519195858762","79.3329036867525","",
"China","CHN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4636713403437","22.5643099574266","17.3395191009478","41.033691444197","124.272951099968","38.1112495628245","68.8524786238225","65.0431667921056","44.4762288163661","42.6276108457102","40.5326196174462","56.2548972900922","72.5835808340326","63.9029590501553","69.4813653656583","44.7058557619521","58.8558640185154","81.8646786726428","79.3192238397069","62.6166578891979","59.8556765846528","62.7181039133864","",
"Cote d'Ivoire","CIV","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.00839409268532","0.234917482391402","0.568083355311657","0.343586270239648","","9.30317083929153","6.85401153672959","2.63205614807255","5.85483972007078","7.28194354044708","7.76458250724618","8.85839644347985","9.70344838621907","16.4360273561934","28.8774121524282","20.7985797946341","18.0729003780348","20.4890568404792","17.1353615174852","","27.6398150432403","23.9755925190508","27.2684242942767","25.5406546882353","23.7766952486201","14.4445573479576","13.4146102809389","11.6319843905098","","","","","",
"Cameroon","CMR","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.6844960912747","34.7384214865918","49.4380919154691","36.1710097864041","60.4468224320426","72.7758488044793","60.0942928506047","70.7061026238885","53.0480485677286","38.491592506046","29.2871156900696","36.7213432955425","38.9516295819788","31.0738880030359","40.8753318985173","39.3252642130379","28.4252677989683","19.7934197203512","21.6237934307051","17.3434816885955","",
"Comoros","COM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
